상가업소번호|상호명|지점명|상권업종대분류코드|상권업종대분류명|상권업종중분류코드|상권업종중분류명|상권업종소분류코드|상권업종소분류명|표준산업분류코드|표준산업분류명|시도코드|시도명|시군구코드|시군구명|행정동코드|행정동명|법정동코드|법정동명|지번코드|대지구분코드|대지구분명|지번본번지|지번부번지|지번주소|도로명코드|도로명|건물본번지|건물부번지|건물관리번호|건물명|도로명주소|구우편번호|신우편번호|동정보|층정보|호정보|경도|위도
23402967|김영희해물찜전골|경복궁점|Q|음식|Q03|일식/수산물|Q03A08|매운탕전문|I56111|한식 음식점업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300202070000|1|대지|207||서울특별시 종로구 필운동 207|111103100005|서울특별시 종로구 사직로|103|17|1111011300102070003027631||서울특별시 종로구 사직로 103-17|110044|03041||1||126.970295358169|37.5763148270682
20382833|레더라경희궁점|경희궁점|Q|음식|Q09|유흥주점|Q09A08|빠/카페/스탠드빠|I56211|일반유흥 주점업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300202890000|1|대지|289||서울특별시 종로구 필운동 289|111104100135|서울특별시 종로구 사직로8길|5||1111011300102890000000001|제이앤제이빌딩|서울특별시 종로구 사직로8길 5|110044|03169||1||126.96949288005|37.5753977744994
20675855|아담집||Q|음식|Q04|분식|Q04A01|라면김밥분식|I56194|분식 및 김밥 전문점|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300202040002|1|대지|204|2|서울특별시 종로구 필운동 204-2|111104100272|서울특별시 종로구 자하문로1길|35||1111011300102040002027644||서울특별시 종로구 자하문로1길 35|110044|03041||1||126.970213638804|37.5764943220798
23376947|대장장이화덕피자||Q|음식|Q07|패스트푸드|Q07A01|피자전문|I56192|피자, 햄버거, 샌드위치 및 유사 음식점업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300201710006|1|대지|171|6|서울특별시 종로구 필운동 171-6|111102100002|서울특별시 종로구 필운대로|16|1|1111011300101710006027117||서울특별시 종로구 필운대로 16-1|110044|03041||1||126.969518562929|37.5776415866206
25285062|BLOOMIN||D|소매|D02|선물/팬시/기념품|D02A02|꽃집/꽃배달|G47851|화초 및 산식물 소매업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300201870000|1|대지|187||서울특별시 종로구 필운동 187|111104100272|서울특별시 종로구 자하문로1길|50||1111011300101870000028629||서울특별시 종로구 자하문로1길 50|110044|03041||1||126.969687096979|37.5769132159797
25221638|온오프에듀||R|학문/교육|R09|학원기타|R09A01|학원(종합)|P85501|일반 교과 학원|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300200120000|1|대지|12||서울특별시 종로구 필운동 12|111104100524|서울특별시 종로구 필운대로1길|34||1111010900101500000029936|배화여자대학|서울특별시 종로구 필운대로1길 34|110735|03039||3||126.96727348371|37.579532168777
21892195|전통순대국||Q|음식|Q10|별식/퓨전요리|Q10A05|순대전문점|I56111|한식 음식점업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300201380000|1|대지|138||서울특별시 종로구 필운동 138|111102100002|서울특별시 종로구 필운대로|3||1111011300101380000028695||서울특별시 종로구 필운대로 3|110044|03027||1||126.969002676905|37.5764657309939
22326137|배화여자대학사직어린이집||R|학문/교육|R08|유아교육|R08A02|어린이집|Q87210|보육시설 운영업|11|서울특별시|11110|종로구|1111053000|사직동|1111011300|필운동|1111011300200880002|1|대지|88|2|서울특별시 종로구 필운동 88-2|111104100524|서울특별시 종로구 필운대로1길|16|8|1111011300100880002027129|사직어린이집|서울특별시 종로구 필운대로1길 16-8|110044|03039||||126.968685748866|37.5781028537806
20573806|양마니.kr||Q|음식|Q01|한식|Q01A01|한식/백반/한정식|I56111|한식 음식점업|11|서울특별시|11110|종로구|1111061500|종로1.2.3.4가동|1111013300|익선동|1111013300200580002|1|대지|58|2|서울특별시 종로구 익선동 58-2|111104100147|서울특별시 종로구 삼일대로32길|58||1111013300100580002013505||서울특별시 종로구 삼일대로32길 58|110340|03132||1||126.990208613345|37.5755137265749
20592261|모아||Q|음식|Q03|일식/수산물|Q03A02|음식점-일식|I56113|일식 음식점업|11|서울특별시|11110|종로구|1111061500|종로1.2.3.4가동|1111013300|익선동|1111013300200060000|1|대지|6||서울특별시 종로구 익선동 6|111104100147|서울특별시 종로구 삼일대로32길|32|2|1111013300100060000015599||서울특별시 종로구 삼일대로32길 32-2|110340|03132||||126.988694827099|37.5752755073877
